name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2024-03-14,30.4,23.3,26.9,32.6,23.3,27.8,20.1,67.4,0,0,0,,0,0,36,21.1,311.6,1013.5,9.8,3.2,284.2,24.5,10,10,2024-03-14T06:47:34,2024-03-14T18:48:18,0.13,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-15,29.9,22.8,26.1,31.4,22.8,26.5,19,65.7,0,0,0,,0,0,26.6,17.2,314.4,1012.5,0.4,3.3,290.1,25.1,10,10,2024-03-15T06:46:44,2024-03-15T18:48:33,0.16,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-16,30.6,22.9,26.8,30.9,22.9,27.2,19.3,65.2,0,0,0,,0,0,27,19.3,303.2,1012.1,17.8,3.3,289.7,25,10,10,2024-03-16T06:45:55,2024-03-16T18:48:49,0.2,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-17,30.8,22.7,27.1,32.1,22.7,28,20.4,68.6,0,0,0,,0,0,25.9,19.9,275.3,1012.2,12.5,3.1,288.5,24.9,10,10,2024-03-17T06:45:05,2024-03-17T18:49:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-18,31.4,24.5,27.4,33,24.5,28.7,21.9,73.2,0,0,0,,0,0,31.7,18.4,278.6,1012,20.5,3.2,284.9,24.6,10,5,2024-03-18T06:44:15,2024-03-18T18:49:19,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-19,33,24.6,28.3,33.7,24.6,29.2,20.7,66,0,0,0,,0,0,28.1,21.7,299.8,1011.9,13.5,2.9,285.8,24.7,10,10,2024-03-19T06:43:25,2024-03-19T18:49:34,0.3,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-20,35.9,24.2,30.5,34.1,24.2,29.5,12.6,38.1,0,0,0,,0,0,33.5,18.4,345.9,1010.5,8.6,3.3,300.3,25.9,10,10,2024-03-20T06:42:35,2024-03-20T18:49:49,0.33,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-21,36.2,25.7,31.3,34.5,25.7,30.2,11.2,30.5,0,0,0,,0,0,31.7,18.7,284.6,1009.2,17.2,3.4,298.3,25.7,10,10,2024-03-21T06:41:44,2024-03-21T18:50:04,0.37,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-22,32.1,26,29.1,36.8,26,32.1,21.7,66,0,0,0,,0,0,31.7,20.5,239.8,1009,6.1,2.8,290.1,25.1,10,10,2024-03-22T06:40:54,2024-03-22T18:50:18,0.4,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-23,31.4,24.7,28.2,34.6,24.7,30.6,22.2,70.8,0,0,0,,0,0,30.2,19.9,277,1009.2,12.4,2.7,291.3,25.1,10,10,2024-03-23T06:40:03,2024-03-23T18:50:33,0.43,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
